row_index,true_label,scattering,mmlu_subject,gpt-oss-120b-working_answer,gpt-oss-120b-working_correct,gpt-oss-120b-working_proxy_request_id,gpt-oss-120b-working_truncated,gpt-oss-120b-working_prompt_tokens,gpt-oss-120b-working_completion_tokens,gpt-oss-120b-working_reasoning_tokens,gpt-oss-120b-working_answer_tokens,gpt-oss-120b-working_total_tokens,gpt-oss-120b-working_duration_ms,gpt-oss-120b-working_provider_latency_ms,gpt-oss-120b-working_queued_ms,gpt-oss-120b-working_generation_ms,gpt-oss-120b-working_ttft_ms,minimax-m2.5-229b_answer,minimax-m2.5-229b_correct,minimax-m2.5-229b_proxy_request_id,minimax-m2.5-229b_truncated,minimax-m2.5-229b_prompt_tokens,minimax-m2.5-229b_completion_tokens,minimax-m2.5-229b_reasoning_tokens,minimax-m2.5-229b_answer_tokens,minimax-m2.5-229b_total_tokens,minimax-m2.5-229b_duration_ms,minimax-m2.5-229b_provider_latency_ms,minimax-m2.5-229b_queued_ms,minimax-m2.5-229b_generation_ms,minimax-m2.5-229b_ttft_ms,middleware:simple_answer,middleware:simple_correct,middleware:simple_routed_model,middleware:simple_proxy_request_id,middleware:simple_truncated,middleware:simple_prompt_tokens,middleware:simple_completion_tokens,middleware:simple_reasoning_tokens,middleware:simple_answer_tokens,middleware:simple_total_tokens,middleware:simple_duration_ms,middleware:simple_provider_latency_ms,middleware:simple_queued_ms,middleware:simple_generation_ms,middleware:simple_ttft_ms,middleware:onnx_answer,middleware:onnx_correct,middleware:onnx_routed_model,middleware:onnx_proxy_request_id,middleware:onnx_truncated,middleware:onnx_prompt_tokens,middleware:onnx_completion_tokens,middleware:onnx_reasoning_tokens,middleware:onnx_answer_tokens,middleware:onnx_total_tokens,middleware:onnx_duration_ms,middleware:onnx_provider_latency_ms,middleware:onnx_queued_ms,middleware:onnx_generation_ms,middleware:onnx_ttft_ms,middleware:llm_answer,middleware:llm_correct,middleware:llm_routed_model,middleware:llm_proxy_request_id,middleware:llm_truncated,middleware:llm_prompt_tokens,middleware:llm_completion_tokens,middleware:llm_reasoning_tokens,middleware:llm_answer_tokens,middleware:llm_total_tokens,middleware:llm_duration_ms,middleware:llm_provider_latency_ms,middleware:llm_queued_ms,middleware:llm_generation_ms,middleware:llm_ttft_ms
11,D,0.818,,D,true,90c3adc3-8b30-4c02-a0f8-f875a07d4d69,false,,366,365,1,366,3206,3170,2,2100,1070,C,false,ce0f7620-09c3-4c39-93e8-56fffc3154f3,false,,2623,2621,2,2623,26042,25982,3,24450,1532,C,false,minimax-m2.5-229b,299f8e0e-1820-4248-ae64-afa9af369dd7,false,,2623,2621,2,2623,26042,25982,3,24450,1532,D,true,gpt-oss-120b-working,8de7275a-ef47-4158-b073-fccdf9bcdc5e,false,,366,365,1,366,3206,3170,2,2100,1070,D,true,gpt-oss-120b-working,2702325d-bc6c-40c9-b845-0dc22fc8fae7,false,,366,365,1,366,3206,3170,2,2100,1070
12,C,0.818,,C,true,160394a1-1fcc-467b-9543-9cdac7c20d77,false,,583,582,1,583,4958,4929,3,3324,1605,C,true,054698ea-dbd5-4a1a-8f71-56f61cc30ab5,false,,1342,1340,2,1342,13303,13274,3,12198,1076,C,true,minimax-m2.5-229b,25c10cc6-d36a-41b9-810b-dc00b257a2da,false,,1342,1340,2,1342,13303,13274,3,12198,1076,C,true,gpt-oss-120b-working,fed46abf-3212-4004-a000-1528f9ec6a7f,false,,583,582,1,583,4958,4929,3,3324,1605,C,true,gpt-oss-120b-working,8c022727-6f0b-40c9-ac50-28f96d5bf166,false,,583,582,1,583,4958,4929,3,3324,1605
13,D,0.818,,A,false,9db0acc4-72a3-4530-be02-38b4f438bc3b,false,,626,625,1,626,4711,4686,3,3589,1097,C,false,ea278ab2-3225-4818-bacd-5e4a1242a112,false,,1463,1461,2,1463,15535,15507,3,13331,2176,C,false,minimax-m2.5-229b,9b28af84-d570-41d6-a506-d87fcb9a7263,false,,1463,1461,2,1463,15535,15507,3,13331,2176,A,false,gpt-oss-120b-working,97186ecf-8be4-4ba2-9eb5-79a0860c878e,false,,626,625,1,626,4711,4686,3,3589,1097,A,false,gpt-oss-120b-working,550bfe90-d090-4eab-9181-e31b7a7b5cbc,false,,626,625,1,626,4711,4686,3,3589,1097
14,D,0.818,,D,true,c947759f-82b2-476b-beef-16e8699196d1,false,,372,371,1,372,3098,3070,2,2136,934,D,true,1e43c458-1714-4e74-95d0-e7bfc0ebae6d,false,,769,767,2,769,8848,8820,4,6976,1844,D,true,minimax-m2.5-229b,43da1e2e-b08a-4591-82df-aacb83823426,false,,769,767,2,769,8848,8820,4,6976,1844,D,true,gpt-oss-120b-working,f29e6593-d1d5-4e41-86ca-6d24b896b3aa,false,,372,371,1,372,3098,3070,2,2136,934,D,true,gpt-oss-120b-working,5defb82b-6935-4de7-b67b-6c76af366a98,false,,372,371,1,372,3098,3070,2,2136,934
15,D,0.727,,C,false,8e2c4600-778e-4e4b-8fa5-9dad88abae90,false,,862,861,1,862,6430,6405,3,4896,1509,C,false,8f052a92-1fee-42c8-8833-afbd1cef0974,false,,1710,1708,2,1710,16697,16666,3,15563,1103,C,false,minimax-m2.5-229b,277171d5-b418-4edc-a03a-1b8f96ade44f,false,,1710,1708,2,1710,16697,16666,3,15563,1103,C,false,gpt-oss-120b-working,d38a2fed-5b91-461e-af18-e756b83d5cda,false,,862,861,1,862,6430,6405,3,4896,1509,C,false,gpt-oss-120b-working,a6041191-36bd-46cb-8245-0ba2b81d6890,false,,862,861,1,862,6430,6405,3,4896,1509
16,D,0.727,,C,false,04507389-9c83-44a8-9eaf-51786b1303c1,false,,168,167,1,168,2422,2395,2,961,1434,C,false,aa74e827-81d5-4739-af84-343637e401cf,false,,465,463,2,465,5212,5180,3,4158,1022,C,false,minimax-m2.5-229b,273a1058-c071-4d3a-b3a6-eeebdc736e34,false,,465,463,2,465,5212,5180,3,4158,1022,C,false,minimax-m2.5-229b,47c21a5c-41d8-47d4-9dae-14b3cf495687,false,,465,463,2,465,5212,5180,3,4158,1022,C,false,gpt-oss-120b-working,774c5669-b38e-470a-aa1c-80011a2b50c4,false,,168,167,1,168,2422,2395,2,961,1434
17,B,0.727,,B,true,b75d59ee-4a2d-4535-84e2-1a3331463e05,false,,234,233,1,234,2419,2380,2,1341,1039,,false,22f5818c-ea93-4feb-abb5-8d5c598cd74a,true,,10000,10000,0,10000,103374,103271,3,101021,2250,,false,minimax-m2.5-229b,f1bdacfe-cb61-4057-9610-484059edfe64,true,,10000,10000,0,10000,103374,103271,3,101021,2250,,false,minimax-m2.5-229b,fd38b298-8534-4715-ba2e-a03f1e045e42,true,,10000,10000,0,10000,103374,103271,3,101021,2250,B,true,gpt-oss-120b-working,ee00ce7f-2907-4bc7-ad00-0926f2d52b7e,false,,234,233,1,234,2419,2380,2,1341,1039
18,B,0.727,,B,true,e46335b4-a492-43b2-85cd-e7b881a2457d,false,,203,202,1,203,2594,2554,2,1158,1396,D,false,c7a225d4-4dd7-4200-8949-29fc5211fb98,false,,536,534,2,536,5894,5867,3,4798,1069,D,false,minimax-m2.5-229b,2ed0348c-1d20-4a05-81bf-8176f79e2a09,false,,536,534,2,536,5894,5867,3,4798,1069,D,false,minimax-m2.5-229b,5b72b25c-9e5c-4555-99d4-01d39518527e,false,,536,534,2,536,5894,5867,3,4798,1069,B,true,gpt-oss-120b-working,e50674ba-7439-4184-81b6-27969b62df22,false,,203,202,1,203,2594,2554,2,1158,1396
19,D,0.727,,A,false,bad931b0-8ea4-4324-bfe6-8b8a1d0abb82,false,,601,600,1,601,4457,4432,3,3425,1007,D,true,1356761e-b7d6-4fae-8a01-fa45c176b045,false,,657,655,2,657,6927,6896,3,5848,1048,D,true,minimax-m2.5-229b,f985578d-4cad-4212-bcbf-8f1621d83a47,false,,657,655,2,657,6927,6896,3,5848,1048,D,true,minimax-m2.5-229b,e7f5677c-09e3-4f1c-b1e6-0a08dfdde79d,false,,657,655,2,657,6927,6896,3,5848,1048,D,true,minimax-m2.5-229b,037abc16-e1c5-4f09-9747-4fd4446ff032,false,,657,655,2,657,6927,6896,3,5848,1048
20,A,0.727,,D,false,4be2eb9b-b4f8-4406-874a-fb734131e017,false,,285,284,1,285,3232,3205,3,1608,1597,A,true,b669579d-9f73-4379-95dd-6469a56c75bc,false,,608,606,2,608,6567,6533,2,5526,1007,A,true,minimax-m2.5-229b,c15a34e9-d663-41db-a62c-347d3ca0751e,false,,608,606,2,608,6567,6533,2,5526,1007,A,true,minimax-m2.5-229b,bbb4b5be-aa5f-496b-b8be-cb821ba3d372,false,,608,606,2,608,6567,6533,2,5526,1007,D,false,gpt-oss-120b-working,ae926d25-2296-4666-87df-75f666ddfa18,false,,285,284,1,285,3232,3205,3,1608,1597
21,B,0.727,,D,false,a9191526-14d9-47b3-86f9-530809e5e49c,false,,359,358,1,359,3067,3042,3,2025,1017,B,true,bf875c82-8764-44f5-a6de-a488e1f949ed,false,,1490,1488,2,1490,15121,14999,3,13510,1489,B,true,minimax-m2.5-229b,174eb08e-fb13-447e-a518-425874657a70,false,,1490,1488,2,1490,15121,14999,3,13510,1489,B,true,minimax-m2.5-229b,92c79969-6cf6-40a6-a040-e9106730fe3f,false,,1490,1488,2,1490,15121,14999,3,13510,1489,D,false,gpt-oss-120b-working,b4e0c5c5-2450-4b25-8d10-4cb5026c00d2,false,,359,358,1,359,3067,3042,3,2025,1017
22,A,0.727,,A,true,e6a83248-e26e-44f2-ab4f-8bda32586c1b,false,,101,100,1,101,1714,1687,3,585,1102,A,true,c280c110-7775-4a62-b257-4c90f4c01871,false,,414,412,2,414,5218,5176,2,3664,1512,A,true,minimax-m2.5-229b,d28cee40-2bf8-46a9-8dfe-fd2ef68f7a81,false,,414,412,2,414,5218,5176,2,3664,1512,A,true,minimax-m2.5-229b,dafddc27-02cd-43a3-9553-c64954ef8815,false,,414,412,2,414,5218,5176,2,3664,1512,A,true,gpt-oss-120b-working,7011039d-5a33-4bc7-8ca4-82b849e16ffe,false,,101,100,1,101,1714,1687,3,585,1102
23,B,0.727,,B,true,705058e9-6917-4346-8e6b-e6bb70ba659d,false,,99,98,1,99,1702,1677,2,582,1095,B,true,673d2b9b-ba60-4cdb-ae1e-5177e3e8983c,false,,304,302,2,304,3715,3686,3,2656,1030,B,true,minimax-m2.5-229b,b1d49d51-5a0a-41e9-ac3f-15ca333d8c40,false,,304,302,2,304,3715,3686,3,2656,1030,B,true,minimax-m2.5-229b,28cb5946-0c6a-4d16-a4ba-f36848f6bb5d,false,,304,302,2,304,3715,3686,3,2656,1030,B,true,gpt-oss-120b-working,8dd3d13f-0827-4fa2-b5c2-f8aafc8c48df,false,,99,98,1,99,1702,1677,2,582,1095
24,B,0.727,,C,false,5b59e114-680f-4358-b384-48dd72a3e300,false,,104,103,1,104,2247,2221,3,602,1619,C,false,1e984636-df79-46fe-b039-56f5bb7f8184,false,,455,453,2,455,5293,5267,3,4024,1243,C,false,minimax-m2.5-229b,37baf897-25c7-46cd-8d07-91cda319a667,false,,455,453,2,455,5293,5267,3,4024,1243,C,false,minimax-m2.5-229b,7ee3b87c-8412-4594-aa61-20c43872195e,false,,455,453,2,455,5293,5267,3,4024,1243,C,false,gpt-oss-120b-working,f8f446f3-0560-44c1-aee9-41d56bb8d017,false,,104,103,1,104,2247,2221,3,602,1619
25,D,0.636,,D,true,3c1b802b-d267-478d-a3f8-79f8d807b66e,false,,81,80,1,81,2427,2380,3,477,1903,D,true,1d06b9b0-3e25-4084-b537-ba799ba77ee6,false,,336,334,2,336,4039,4012,4,3003,1009,D,true,minimax-m2.5-229b,f6e7d016-3510-4a6b-bcfa-1e771d76706c,false,,336,334,2,336,4039,4012,4,3003,1009,D,true,minimax-m2.5-229b,b31742c5-2dce-41f7-872a-e3af451a3230,false,,336,334,2,336,4039,4012,4,3003,1009,D,true,gpt-oss-120b-working,9f5f53e4-6399-4aff-b20b-3999d85d5c41,false,,81,80,1,81,2427,2380,3,477,1903
26,B,0.636,,B,true,adc60329-94ea-47e4-a198-b6cccbfe8056,false,,85,84,1,85,1891,1862,2,942,920,B,true,fbc52b7d-9d75-4e0c-b33c-2febd1929d2e,false,,245,243,2,245,3435,3407,3,2164,1243,B,true,minimax-m2.5-229b,6636abf2-869c-43b9-aefe-e21d69927191,false,,245,243,2,245,3435,3407,3,2164,1243,B,true,minimax-m2.5-229b,a96fe9e0-4a98-4e33-ac57-afc631c3d7f6,false,,245,243,2,245,3435,3407,3,2164,1243,B,true,gpt-oss-120b-working,9e8b8782-3347-4836-b74a-8e5a205c456d,false,,85,84,1,85,1891,1862,2,942,920
27,C,0.636,,C,true,41bb7e56-c765-4c0e-93bc-44af0f0f33c6,false,,250,249,1,250,2900,2874,3,1429,1445,C,true,e47e8b08-add2-4c58-81c5-363dc7740824,false,,4437,4435,2,4437,43614,43552,2,42046,1506,C,true,minimax-m2.5-229b,22edae6b-47eb-41c0-bc24-83de289e9af8,false,,4437,4435,2,4437,43614,43552,2,42046,1506,C,true,minimax-m2.5-229b,f5571270-282b-4099-8008-a48192cc53a2,false,,4437,4435,2,4437,43614,43552,2,42046,1506,C,true,gpt-oss-120b-working,e574a0b9-a7c8-4693-9155-247080998143,false,,250,249,1,250,2900,2874,3,1429,1445
28,D,0.636,,D,true,8d92eeaa-0114-4c67-bff3-7ed042384d61,false,,106,105,1,106,2029,2003,2,616,1387,D,true,359e64ea-f09b-487b-a12e-0d9312d80b85,false,,625,623,2,625,7510,7481,2,5567,1914,D,true,minimax-m2.5-229b,c518c00d-cc61-4dcc-b535-4f75da9a1171,false,,625,623,2,625,7510,7481,2,5567,1914,D,true,minimax-m2.5-229b,02453f08-bae6-4321-b87c-7370bbbd613b,false,,625,623,2,625,7510,7481,2,5567,1914,D,true,gpt-oss-120b-working,eedba69a-3f6a-48c6-b37e-c90da19bcd7a,false,,106,105,1,106,2029,2003,2,616,1387
29,A,0.636,,A,true,e8405eaf-846e-40d7-bb9e-ee508ac4f6aa,false,,263,262,1,263,2524,2497,2,1504,993,A,true,d67e3b4b-386f-4565-b76a-cce0a7ccf2ab,false,,582,580,2,582,6319,6291,3,5228,1063,A,true,minimax-m2.5-229b,23ffdc37-c946-443b-80f4-fa82ec8f5df1,false,,582,580,2,582,6319,6291,3,5228,1063,A,true,minimax-m2.5-229b,e7cec650-a87b-457e-a64f-b085ccfda38a,false,,582,580,2,582,6319,6291,3,5228,1063,A,true,gpt-oss-120b-working,c1536e71-d69d-43c5-92f1-746feafc4f8b,false,,263,262,1,263,2524,2497,2,1504,993
30,B,0.636,,B,true,acba1ca7-d387-490e-aaf1-4fb476a442fd,false,,259,258,1,259,2449,2411,3,1476,935,B,true,0a71e93e-114c-468e-ac59-854bbc472a63,false,,661,659,2,661,7437,7406,3,5895,1511,B,true,minimax-m2.5-229b,ac742529-ab3c-4b9d-8c0f-b1fab7dc866b,false,,661,659,2,661,7437,7406,3,5895,1511,B,true,minimax-m2.5-229b,0b11a185-aeed-4f21-8a9c-44ec141b34b9,false,,661,659,2,661,7437,7406,3,5895,1511,B,true,gpt-oss-120b-working,cdff0770-a1f9-4793-88a5-4003871e568d,false,,259,258,1,259,2449,2411,3,1476,935
